title,description,category_name,venue,city,start_date,end_date,price,capacity,tags
Vietnam Music Festival 2026,"An epic outdoor music festival featuring Vietnam's top artists and international performers. Experience 3 days of non-stop music across 4 stages with genres ranging from pop, indie, electronic, and traditional Vietnamese music. Food stalls, art installations, and camping options available.",Music,Phu My Hung Expo,Ho Chi Minh City,2026-08-15 18:00:00,2026-08-17 23:00:00,850000,5000,music|festival|outdoor|live|concert|pop|indie|electronic|vietnamese
Hanoi Jazz Night,"A sophisticated jazz evening at the Hanoi Opera House featuring legendary jazz musicians from Vietnam and Southeast Asia. Enjoy classic jazz standards alongside contemporary fusion pieces in a stunning heritage venue.",Music,Hanoi Opera House,Hanoi,2026-08-22 19:30:00,2026-08-22 22:30:00,450000,800,jazz|music|concert|live|indoor|hanoi|classical|sophisticated
Rock Storm Concert,"Vietnam's biggest rock music event returns with an explosive lineup of local and international rock bands. Expect high-energy performances, pyrotechnics, and an unforgettable night of rock music.",Music,My Dinh National Stadium,Hanoi,2026-09-05 17:00:00,2026-09-05 23:00:00,650000,20000,rock|music|concert|live|outdoor|stadium|band|performance
Saigon Electronic Music Festival,"A premier electronic music event in Ho Chi Minh City featuring world-class DJs and cutting-edge sound systems. Dance music genres include house, techno, trance, and drum & bass across multiple stages.",Music,GEM Center,Ho Chi Minh City,2026-09-20 20:00:00,2026-09-21 04:00:00,750000,3000,electronic|music|dj|festival|techno|house|trance|nightlife
Da Nang Beach Music Party,"A beachfront music celebration combining sea, sand, and sensational music. Featuring acoustic sets, pop performances, and sunset DJ sets on the beautiful My Khe Beach.",Music,My Khe Beach,Da Nang,2026-09-12 16:00:00,2026-09-12 23:00:00,200000,2000,music|beach|outdoor|pop|acoustic|dj|sunset|party
Vietnam Premier League Football Final,"Witness the most exciting football final of the Vietnamese Premier League season. Two top clubs battle it out for the championship title in front of a packed stadium atmosphere.",Sports,My Dinh National Stadium,Hanoi,2026-08-30 18:00:00,2026-08-30 20:30:00,300000,30000,football|soccer|sports|championship|league|stadium|competition
Ho Chi Minh City Marathon 2026,"The annual HCMC Marathon attracts thousands of runners from across Vietnam and internationally. Categories include full marathon, half marathon, 10km, and 5km fun run. All fitness levels welcome.",Sports,Nguyen Hue Walking Street,Ho Chi Minh City,2026-10-15 05:00:00,2026-10-15 12:00:00,500000,8000,marathon|running|sports|fitness|outdoor|race|5km|10km|halfmarathon
Badminton Championship Da Nang,"Regional badminton championship featuring amateur and semi-professional players competing across multiple age categories and skill levels. Spectators welcome.",Sports,Da Nang Sports Center,Da Nang,2026-08-25 08:00:00,2026-08-26 18:00:00,50000,500,badminton|sports|championship|competition|tournament|indoor
Yoga & Wellness Retreat Hoi An,"A transformative 2-day yoga and wellness retreat in the historic town of Hoi An. Sessions include morning yoga, meditation, breathwork, nutrition workshops, and evening sound healing ceremonies.",Health & Wellness,Hoi An Retreat Center,Da Nang,2026-09-06 07:00:00,2026-09-07 18:00:00,1200000,60,yoga|wellness|retreat|meditation|mindfulness|health|healing|holistic
Tech Summit Vietnam 2026,"Vietnam's premier technology conference bringing together 2000+ tech leaders, developers, and innovators. Sessions cover AI, machine learning, blockchain, cloud computing, cybersecurity, and startup ecosystem.",Technology,National Convention Center,Hanoi,2026-09-18 08:00:00,2026-09-19 18:00:00,1500000,2000,technology|conference|ai|machinelearning|blockchain|cloud|startup|innovation|networking|developer
